Frequency,S11,S21
 (9.999999999999998510e+07+0.000000000000000000e+00j)  (1.834097099399068509e-01+3.258277457922226783e-01j)  (6.625575845952669241e-01-5.305675742517131921e-01j)
 (1.999999999999999702e+08+0.000000000000000000e+00j)  (5.460275092369976102e-01+2.457083034205466976e-01j)  (2.266443260189149322e-01-6.539434563148237567e-01j)
 (3.000000000000000000e+08+0.000000000000000000e+00j)  (7.191696507914238090e-01-5.583191719811369386e-02j)  (-7.857669682712163650e-02-5.496143475591738214e-01j)
 (3.999999999999999404e+08+0.000000000000000000e+00j)  (6.787525481327748578e-01-4.228408113461100126e-01j)  (-2.454281199003174041e-01-3.589132752478800814e-01j)
 (4.999999999999999404e+08+0.000000000000000000e+00j)  (3.834012042511629748e-01-7.661876438669906753e-01j)  (-2.512804327049082409e-01-1.359125001285269030e-01j)
 (6.000000000000000000e+08+0.000000000000000000e+00j)  (-2.030551642061205198e-01-8.336329409292684289e-01j)  (-6.087781392642302447e-02-6.232619146915029801e-02j)
 (7.000000000000000000e+08+0.000000000000000000e+00j)  (-6.470185991424237670e-01-3.685650687507552314e-01j)  (-3.784375984310670710e-02-2.975174326853475271e-01j)
 (7.999999999999998808e+08+0.000000000000000000e+00j)  (-6.094612125565557204e-01+1.527941612177656783e-01j)  (-3.390492596516019863e-01-3.368518728180568411e-01j)
 (9.000000000000000000e+08+0.000000000000000000e+00j)  (-3.594525412200297865e-01+4.724561539799632115e-01j)  (-5.200797264913685769e-01-9.255363019193896257e-02j)
 (9.999999999999998808e+08+0.000000000000000000e+00j)  (-4.532486296372191525e-02+6.025846877703676663e-01j)  (-4.862176526034225899e-01+1.663392246573576205e-01j)
 (1.100000000000000000e+09+0.000000000000000000e+00j)  (2.408261028818348137e-01+5.740929074387816078e-01j)  (-3.525643321416327969e-01+3.271562622311692259e-01j)
 (1.200000000000000000e+09+0.000000000000000000e+00j)  (4.488225196571751230e-01+4.474136604777909643e-01j)  (-2.046855509272352269e-01+4.042663551179102588e-01j)
 (1.300000000000000000e+09+0.000000000000000000e+00j)  (5.711126403656162642e-01+2.754832168408706816e-01j)  (-6.743948731489050885e-02+4.340356419178745817e-01j)
 (1.400000000000000000e+09+0.000000000000000000e+00j)  (6.152661850887405359e-01+9.115936909423257017e-02j)  (6.299645582999553739e-02+4.373411352642774808e-01j)
 (1.500000000000000000e+09+0.000000000000000000e+00j)  (5.886737900691937364e-01-8.354755537899577478e-02j)  (1.975673445736844391e-01+4.172000000185527302e-01j)
 (1.599999999999999762e+09+0.000000000000000000e+00j)  (4.979202277910415586e-01-2.261382648653788852e-01j)  (3.434664405042829327e-01+3.607797221934572196e-01j)
 (1.700000000000000238e+09+0.000000000000000000e+00j)  (3.590812935059176647e-01-3.081329562260403665e-01j)  (4.917195923882564657e-01+2.422598893470709891e-01j)
 (1.800000000000000000e+09+0.000000000000000000e+00j)  (2.134729558544641859e-01-3.069783905762501486e-01j)  (6.013462004508682845e-01+3.961247809860549834e-02j)
 (1.900000000000000000e+09+0.000000000000000000e+00j)  (1.199684666556009999e-01-2.412771423915701929e-01j)  (6.070543014053297881e-01-2.262701536508904820e-01j)
 (1.999999999999999762e+09+0.000000000000000000e+00j)  (9.815313090782301630e-02-1.785934410379976522e-01j)  (4.766853301803928855e-01-4.790482235514403886e-01j)
 (2.100000000000000000e+09+0.000000000000000000e+00j)  (9.798064877348640345e-02-1.680633254257448694e-01j)  (2.439415306515943238e-01-6.478158516208876172e-01j)
 (2.200000000000000000e+09+0.000000000000000000e+00j)  (5.616467124484750273e-02-1.902748380693082830e-01j)  (-3.970842981535349647e-02-7.069268618897560641e-01j)
 (2.300000000000000000e+09+0.000000000000000000e+00j)  (-4.568101055045534903e-02-1.809641178890473712e-01j)  (-3.358946879562892396e-01-6.442235431011695823e-01j)
 (2.400000000000000000e+09+0.000000000000000000e+00j)  (-1.604396512050094425e-01-7.885536859198992443e-02j)  (-5.896568590158985934e-01-4.439351708407203723e-01j)
 (2.500000000000000000e+09+0.000000000000000000e+00j)  (-1.926700370820210451e-01+1.114777992132526263e-01j)  (-7.136526643224648803e-01-1.344164620230806073e-01j)
 (2.600000000000000000e+09+0.000000000000000000e+00j)  (-8.965714779789664413e-02+2.934450069609158551e-01j)  (-6.618489862390843914e-01+1.773527041918906422e-01j)
 (2.700000000000000000e+09+0.000000000000000000e+00j)  (9.400269412478863551e-02+3.744971268792240959e-01j)  (-4.913017773177638658e-01+3.922398075214926783e-01j)
 (2.800000000000000000e+09+0.000000000000000000e+00j)  (2.713181845251831925e-01+3.477669083211203938e-01j)  (-2.896315274324738342e-01+4.965851114029816715e-01j)
 (2.900000000000000000e+09+0.000000000000000000e+00j)  (3.968364640752902739e-01+2.545205236084480127e-01j)  (-1.029490429581174926e-01+5.238822549982969923e-01j)
 (3.000000000000000000e+09+0.000000000000000000e+00j)  (4.629604540976832161e-01+1.340357665709625556e-01j)  (5.925541988739740223e-02+5.049088783490681687e-01j)
 (3.100000000000000000e+09+0.000000000000000000e+00j)  (4.765749801748036529e-01+1.068080211430459149e-02j)  (2.009641374053413587e-01+4.559359225945348593e-01j)
 (3.199999999999999523e+09+0.000000000000000000e+00j)  (4.453521095115771655e-01-1.014491412374333157e-01j)  (3.287821905041465320e-01+3.819860354372556221e-01j)
 (3.300000000000000000e+09+0.000000000000000000e+00j)  (3.744690215445320991e-01-1.891954425971490439e-01j)  (4.476335464884192428e-01+2.774970113434471752e-01j)
 (3.400000000000000477e+09+0.000000000000000000e+00j)  (2.748521810168952917e-01-2.338712685899724808e-01j)  (5.509567527088656824e-01+1.259857592905813950e-01j)
 (3.500000000000000000e+09+0.000000000000000000e+00j)  (1.766756385513112149e-01-2.214428606506446406e-01j)  (6.064495778478141697e-01-8.595610106671583428e-02j)
 (3.600000000000000000e+09+0.000000000000000000e+00j)  (1.204144314117993331e-01-1.703062307235359008e-01j)  (5.640531322554773741e-01-3.364727339125104799e-01j)
 (3.700000000000000000e+09+0.000000000000000000e+00j)  (1.121470129941421617e-01-1.315857084556939227e-01j)  (4.015774202423045836e-01-5.614463844917940705e-01j)
 (3.800000000000000000e+09+0.000000000000000000e+00j)  (1.067536867442985538e-01-1.346160015228493878e-01j)  (1.469410822097269309e-01-7.004832173091831704e-01j)
 (3.900000000000000000e+09+0.000000000000000000e+00j)  (5.619810011139279166e-02-1.511308498956466240e-01j)  (-1.548351237015453408e-01-7.229730652442409866e-01j)
 (3.999999999999999523e+09+0.000000000000000000e+00j)  (-3.931957918614301800e-02-1.182994685335007345e-01j)  (-4.552839599595742692e-01-6.084420190994205280e-01j)
 (4.100000000000000000e+09+0.000000000000000000e+00j)  (-1.141752103893825532e-01+5.119323360325918684e-03j)  (-6.789608878300968930e-01-3.536415655241991196e-01j)
 (4.200000000000000000e+09+0.000000000000000000e+00j)  (-8.385128648180231736e-02+1.760046019884206059e-01j)  (-7.441274867717553310e-01-2.267505368223786399e-02j)
 (4.300000000000000000e+09+0.000000000000000000e+00j)  (5.617996928919950783e-02+2.913510948005509360e-01j)  (-6.472169666175319191e-01+2.700423829326914493e-01j)
 (4.400000000000000000e+09+0.000000000000000000e+00j)  (2.282476095387533377e-01+2.976790498148139674e-01j)  (-4.637827142529126201e-01+4.611884108272038540e-01j)
 (4.500000000000000000e+09+0.000000000000000000e+00j)  (3.614330140266581726e-01+2.155723256856238168e-01j)  (-2.606184167197422297e-01+5.605513924486995592e-01j)
 (4.600000000000000000e+09+0.000000000000000000e+00j)  (4.257743139728578652e-01+8.929552731473498761e-02j)  (-6.091608733628393196e-02+5.972997402460720195e-01j)
 (4.700000000000000000e+09+0.000000000000000000e+00j)  (4.166439800244209346e-01-4.065358927864427124e-02j)  (1.372376667842900300e-01+5.855021821386480196e-01j)
 (4.800000000000000000e+09+0.000000000000000000e+00j)  (3.436583646708552542e-01-1.372578086659312357e-01j)  (3.368577815843898371e-01+5.177568008543848022e-01j)
 (4.900000000000000000e+09+0.000000000000000000e+00j)  (2.363723951159212300e-01-1.670351316596845326e-01j)  (5.214475076808069431e-01+3.736178939524028575e-01j)
 (5.000000000000000000e+09+0.000000000000000000e+00j)  (1.498956076314104935e-01-1.204751690362468874e-01j)  (6.442137548558134474e-01+1.468334488443258368e-01j)
 (5.100000000000000000e+09+0.000000000000000000e+00j)  (1.356156364973280515e-01-3.940491362677700504e-02j)  (6.544265482873887763e-01-1.219229892062240889e-01j)
 (5.200000000000000000e+09+0.000000000000000000e+00j)  (1.891501465398841286e-01+6.375769435561973522e-03j)  (5.488242885304960295e-01-3.621298549427196534e-01j)
 (5.300000000000000000e+09+0.000000000000000000e+00j)  (2.550409582998897640e-01-1.799260779266421625e-02j)  (3.693826806734749058e-01-5.311589610097029457e-01j)
 (5.400000000000000000e+09+0.000000000000000000e+00j)  (2.782672546298961547e-01-9.627602471637695947e-02j)  (1.543108084424645032e-01-6.259711299786316907e-01j)
 (5.500000000000000000e+09+0.000000000000000000e+00j)  (2.299186942829461455e-01-1.848527588922973530e-01j)  (-8.198267648157275822e-02-6.504182468023773644e-01j)
 (5.600000000000000000e+09+0.000000000000000000e+00j)  (1.113536131781447946e-01-2.277250703625355310e-01j)  (-3.307772013412161871e-01-5.902941853764129831e-01j)
 (5.700000000000000954e+09+0.000000000000000000e+00j)  (-3.209908630500102333e-02-1.708640222547055942e-01j)  (-5.557404414276784221e-01-4.191378642992078518e-01j)
 (5.800000000000000000e+09+0.000000000000000000e+00j)  (-1.084835756230191350e-01-9.902170319649962818e-03j)  (-6.811351761231829727e-01-1.464642781817089012e-01j)
 (5.900000000000000000e+09+0.000000000000000000e+00j)  (-4.997754119887468094e-02+1.689703016189256779e-01j)  (-6.559430155896714965e-01+1.438042883020993479e-01j)
 (6.000000000000000000e+09+0.000000000000000000e+00j)  (1.074912865352736502e-01+2.604090330540516085e-01j)  (-5.185851836946423488e-01+3.632353038208230855e-01j)
 (6.100000000000000000e+09+0.000000000000000000e+00j)  (2.725542742926080897e-01+2.363474486435431787e-01j)  (-3.395075004765776838e-01+4.946002371238646944e-01j)
 (6.200000000000000000e+09+0.000000000000000000e+00j)  (3.819237026677150815e-01+1.323267877425912398e-01j)  (-1.542671929789081464e-01+5.616631148764712478e-01j)
 (6.300000000000000000e+09+0.000000000000000000e+00j)  (4.125603708795914648e-01-3.431539590709163819e-03j)  (3.430639020251347038e-02+5.831280859037154540e-01j)
 (6.399999999999999046e+09+0.000000000000000000e+00j)  (3.633399758199793439e-01-1.261620535282367006e-01j)  (2.337574164888455153e-01+5.569098350999278635e-01j)
 (6.500000000000000000e+09+0.000000000000000000e+00j)  (2.523737499158366648e-01-1.905812809169320499e-01j)  (4.401200496558276831e-01+4.596850150689915648e-01j)
 (6.600000000000000000e+09+0.000000000000000000e+00j)  (1.317527992812863313e-01-1.617056793936146319e-01j)  (6.145682386595034963e-01+2.646315747500679882e-01j)
 (6.700000000000000000e+09+0.000000000000000000e+00j)  (7.954076374915360070e-02-5.758870892181543882e-02j)  (6.862637529280088966e-01-1.204096196060315885e-02j)
 (6.800000000000000954e+09+0.000000000000000000e+00j)  (1.294862410520803420e-01+3.691866913701288833e-02j)  (6.170474116953921229e-01-2.904757758503319076e-01j)
 (6.900000000000000000e+09+0.000000000000000000e+00j)  (2.292436278445240672e-01+4.955190140050060726e-02j)  (4.445965341131772885e-01-4.960999651617887807e-01j)
 (7.000000000000000000e+09+0.000000000000000000e+00j)  (3.023569626805848731e-01-2.047643910997331770e-02j)  (2.272221318872925666e-01-6.135871015623861613e-01j)
 (7.100000000000000000e+09+0.000000000000000000e+00j)  (3.034998710720686055e-01-1.297484623000089154e-01j)  (-7.010246151874358067e-03-6.559999462185642782e-01j)
 (7.200000000000000000e+09+0.000000000000000000e+00j)  (2.215585258057487517e-01-2.223007048562828381e-01j)  (-2.522425352761119011e-01-6.237612314329344931e-01j)
 (7.300000000000000000e+09+0.000000000000000000e+00j)  (8.079160924619871453e-02-2.395241143429710506e-01j)  (-4.919276713468569984e-01-4.949672493657874539e-01j)
 (7.400000000000000000e+09+0.000000000000000000e+00j)  (-4.702394296067780033e-02-1.467491888264188804e-01j)  (-6.699089080345007607e-01-2.535613268301100676e-01j)
 (7.499999999999999046e+09+0.000000000000000000e+00j)  (-7.405724447753563033e-02+1.404144711763921465e-02j)  (-7.114117919667395373e-01+5.608582955766130973e-02j)
 (7.600000000000000000e+09+0.000000000000000000e+00j)  (1.282661509128360001e-02+1.392726957024340850e-01j)  (-6.024966689358945970e-01+3.355050868158226951e-01j)
 (7.700000000000000000e+09+0.000000000000000000e+00j)  (1.402754104872400431e-01+1.683677729090720110e-01j)  (-4.028358021518761989e-01+5.200750081506949618e-01j)
 (7.800000000000000000e+09+0.000000000000000000e+00j)  (2.342497304752628462e-01+1.191027716420145349e-01j)  (-1.732186559522344571e-01+6.069290221783530948e-01j)
 (7.899999999999999046e+09+0.000000000000000000e+00j)  (2.649201295319980054e-01+4.182921344650451095e-02j)  (5.697285024881559856e-02+6.114646389949884853e-01j)
 (7.999999999999999046e+09+0.000000000000000000e+00j)  (2.407179343005435013e-01-1.626020517635877807e-02j)  (2.709786922500007633e-01+5.399384651270241475e-01j)
 (8.100000000000000000e+09+0.000000000000000000e+00j)  (1.958463785808019775e-01-2.844538428859286205e-02j)  (4.441451127246345831e-01+3.965024104663387172e-01j)
 (8.200000000000000000e+09+0.000000000000000000e+00j)  (1.703295594738966356e-01-1.427108522414859268e-03j)  (5.480663991592524820e-01+2.024009926315123720e-01j)
 (8.300000000000000000e+09+0.000000000000000000e+00j)  (1.810300213428537031e-01+3.380620689262504863e-02j)  (5.734228311513624998e-01-6.343559442754722125e-03j)
 (8.400000000000000000e+09+0.000000000000000000e+00j)  (2.187004372619842651e-01+5.278048480378727536e-02j)  (5.308718488355645970e-01-2.040634268732179624e-01j)
 (8.500000000000000000e+09+0.000000000000000000e+00j)  (2.701336647500033883e-01+4.428077004923622328e-02j)  (4.287785292519167846e-01-3.780392663313106305e-01j)
 (8.600000000000000000e+09+0.000000000000000000e+00j)  (3.184034082700620272e-01-1.878441111532272575e-03j)  (2.725583065612720013e-01-5.122607843093399671e-01j)
 (8.700000000000000000e+09+0.000000000000000000e+00j)  (3.334830458998144787e-01-8.434106035864963324e-02j)  (7.482059957741511724e-02-5.905669225558061175e-01j)
 (8.800000000000000000e+09+0.000000000000000000e+00j)  (2.871230384842540784e-01-1.747227483347854327e-01j)  (-1.512916586285025511e-01-6.006561534020019577e-01j)
 (8.900000000000000000e+09+0.000000000000000000e+00j)  (1.771003167588610094e-01-2.219365376876155094e-01j)  (-3.897339949557210304e-01-5.216057275536325477e-01j)
 (9.000000000000000000e+09+0.000000000000000000e+00j)  (4.882506838112803810e-02-1.764415415732433490e-01j)  (-5.953875964072523619e-01-3.283715484979198296e-01j)
 (9.100000000000000000e+09+0.000000000000000000e+00j)  (-1.147187935718179189e-02-4.474424528422296654e-02j)  (-6.889970931041151658e-01-4.017055807712507920e-02j)
 (9.200000000000000000e+09+0.000000000000000000e+00j)  (4.242058839438698353e-02+8.539749260316605028e-02j)  (-6.274843087721247992e-01+2.522663937898898534e-01j)
 (9.300000000000000000e+09+0.000000000000000000e+00j)  (1.599918242643013910e-01+1.320951028017470219e-01j)  (-4.548384979290578389e-01+4.648486197469511305e-01j)
 (9.400000000000000000e+09+0.000000000000000000e+00j)  (2.611214985304961544e-01+9.098581193389182475e-02j)  (-2.376880763803238539e-01+5.821349989298658656e-01j)
 (9.500000000000000000e+09+0.000000000000000000e+00j)  (3.001096334092789863e-01+5.279595244678270474e-03j)  (-7.984597038398778476e-03+6.204397418927647401e-01j)
 (9.600000000000000000e+09+0.000000000000000000e+00j)  (2.688305682705010580e-01-7.188315741838466333e-02j)  (2.258959303281534714e-01+5.829422271616833129e-01j)
 (9.700000000000000000e+09+0.000000000000000000e+00j)  (1.939653644843636338e-01-9.145279578504811324e-02j)  (4.437324940755994485e-01+4.530013534892255445e-01j)
 (9.800000000000000000e+09+0.000000000000000000e+00j)  (1.389214228200385814e-01-3.546843825290300900e-02j)  (5.902880068801679148e-01+2.275994656471835020e-01j)
 (9.900000000000000000e+09+0.000000000000000000e+00j)  (1.627251865634790073e-01+4.794129629340219273e-02j)  (6.099113705050416279e-01-3.738734282737330578e-02j)
 (1.000000000000000000e+10+0.000000000000000000e+00j)  (2.536540790802089274e-01+8.175538225144703131e-02j)  (5.144348884983015457e-01-2.582978040189518043e-01j)
